model_name,provider,cost_usd_1m,speed_tok_s,latency_s,context_window,source,avg_score,ifeval,bbh,math_score,gpqa,musr,mmlu_pro,params_b,architecture,accuracy,cost_efficiency,speed_efficiency,composite_score,tag
GPT-5.2 (xhigh),OpenAI,4.81,100,44.29,400k,ArtificialAnalysis,,,,,,,,,,51.0,10.602910600706256,2.2578460148508053,67.86402832412256,High-Performance
Claude Opus 4.5,Anthropic,10.0,79,1.7,200k,ArtificialAnalysis,,,,,,,,,,49.0,4.89999999951,46.47058820795848,60.07590934564655,Balanced
Gemini 3 Pro Preview (high),Google,4.5,128,32.19,1m,ArtificialAnalysis,,,,,,,,,,48.0,10.666666664296296,3.976390183163207,68.8774014367192,High-Performance
GPT-5.1 (high),OpenAI,3.44,127,26.5,400k,ArtificialAnalysis,,,,,,,,,,47.0,13.662790693702677,4.792452830007832,71.61823035236894,High-Performance
Gemini 3 Flash,Google,1.13,224,11.62,1m,ArtificialAnalysis,,,,,,,,,,46.0,40.707964565745165,19.27710843207598,81.78319128368904,High-Performance
GPT-5.2 (medium),OpenAI,4.81,0,0.0,400k,ArtificialAnalysis,,,,,,,,,,45.0,9.355509353564344,0.0,67.64166666666667,Fast
Claude Opus 4.5,Anthropic,10.0,72,1.96,200k,ArtificialAnalysis,,,,,,,,,,43.0,4.29999999957,36.73469385880883,54.50565329429148,Balanced
Claude 4.5 Sonnet,Anthropic,6.0,80,1.6,1m,ArtificialAnalysis,,,,,,,,,,42.0,6.999999998833333,49.99999996875,63.898657399586526,High-Performance
GLM-4.7,Z AI,0.94,78,0.61,200k,ArtificialAnalysis,,,,,,,,,,42.0,44.68085101629697,127.86885224939533,76.66931767904691,High-Performance
GPT-5.1 Codex (high),OpenAI,3.44,190,17.8,400k,ArtificialAnalysis,,,,,,,,,,42.0,12.20930232203218,10.674157302771114,70.43165447949096,High-Performance
Grok 4,xAI,6.0,36,6.34,256k,ArtificialAnalysis,,,,,,,,,,41.0,6.833333332194444,5.678233437590184,60.97090469333634,Balanced
DeepSeek V3.2,DeepSeek,0.32,31,1.41,128k,ArtificialAnalysis,,,,,,,,,,41.0,128.12499959960937,21.9858155872441,75.90703021722402,High-Performance
o3,OpenAI,3.5,264,12.44,200k,ArtificialAnalysis,,,,,,,,,,22.0,6.2857142839183675,21.221864950062553,55.47064714037106,Balanced
GPT-5 mini (high),OpenAI,0.69,72,113.01,400k,ArtificialAnalysis,,,,,,,,,,41.0,59.42028976895611,0.6371117600155993,56.34974747474748,Balanced
Gemini 3 Pro Preview (low),Google,4.5,133,4.04,1m,ArtificialAnalysis,,,,,,,,,,41.0,9.11111110908642,32.92079207105921,67.77340286324889,High-Performance
Kimi K2 Thinking,Kimi,1.07,84,0.62,256k,ArtificialAnalysis,,,,,,,,,,40.0,37.3831775351559,135.48387074921956,74.72840651001655,High-Performance
MiniMax-M2.1,MiniMax,0.53,71,1.79,205k,ArtificialAnalysis,,,,,,,,,,39.0,73.58490552153792,39.66480444711463,74.62791084457531,High-Performance
MiMo-V2-Flash,Xiaomi,0.15,112,1.67,256k,ArtificialAnalysis,,,,,,,,,,39.0,259.9999982666667,67.06586822331386,76.7173297214245,High-Performance
Grok 4.1 Fast,xAI,0.28,150,6.15,2m,ArtificialAnalysis,,,,,,,,,,38.0,135.7142852295918,24.39024389847313,75.74695427865058,High-Performance
GPT-5.1 Codex mini (high),OpenAI,0.69,174,8.53,400k,ArtificialAnalysis,,,,,,,,,,38.0,55.072463688300786,20.398593198077542,74.95529806962645,High-Performance
