model_name,provider,intelligence_idx,cost_usd_1m,speed_tok_s,latency_s,avg_score,accuracy,cost_efficiency,speed_efficiency
GPT-5.2 (xhigh),OpenAI,51.0,4.81,100,44.29,,51.0,10.602910600706256,2.2578460148508053
Claude Opus 4.5,Anthropic,49.0,10.0,79,1.7,,49.0,4.89999999951,46.47058820795848
Gemini 3 Pro Preview (high),Google,48.0,4.5,128,32.19,,48.0,10.666666664296296,3.976390183163207
GPT-5.1 (high),OpenAI,47.0,3.44,127,26.5,,47.0,13.662790693702677,4.792452830007832
Gemini 3 Flash,Google,46.0,1.13,224,11.62,,46.0,40.707964565745165,19.27710843207598
GPT-5.2 (medium),OpenAI,45.0,4.81,0,0.0,,45.0,9.355509353564344,0.0
Claude Opus 4.5,Anthropic,43.0,10.0,72,1.96,,43.0,4.29999999957,36.73469385880883
Claude 4.5 Sonnet,Anthropic,42.0,6.0,80,1.6,,42.0,6.999999998833333,49.99999996875
GLM-4.7,Z AI,42.0,0.94,78,0.61,,42.0,44.68085101629697,127.86885224939533
GPT-5.1 Codex (high),OpenAI,42.0,3.44,190,17.8,,42.0,12.20930232203218,10.674157302771114
Grok 4,xAI,41.0,6.0,36,6.34,,41.0,6.833333332194444,5.678233437590184
DeepSeek V3.2,DeepSeek,41.0,0.32,31,1.41,,41.0,128.12499959960937,21.9858155872441
o3,OpenAI,41.0,3.5,264,12.44,,41.0,11.714285710938775,21.221864950062553
GPT-5 mini (high),OpenAI,41.0,0.69,72,113.01,,41.0,59.42028976895611,0.6371117600155993
Gemini 3 Pro Preview (low),Google,41.0,4.5,133,4.04,,41.0,9.11111110908642,32.92079207105921
Kimi K2 Thinking,Kimi,40.0,1.07,84,0.62,,40.0,37.3831775351559,135.48387074921956
MiniMax-M2.1,MiniMax,39.0,0.53,71,1.79,,39.0,73.58490552153792,39.66480444711463
MiMo-V2-Flash,Xiaomi,39.0,0.15,112,1.67,,39.0,259.9999982666667,67.06586822331386
Grok 4.1 Fast,xAI,38.0,0.28,150,6.15,,38.0,135.7142852295918,24.39024389847313
GPT-5.1 Codex mini (high),OpenAI,38.0,0.69,174,8.53,,38.0,55.072463688300786,20.398593198077542
Claude 4.5 Sonnet,Anthropic,37.0,6.0,72,1.51,,37.0,6.166666665638889,47.68211917372045
Claude 4.5 Haiku,Anthropic,37.0,2.0,116,0.46,,37.0,18.49999999075,252.17391249527407
KAT-Coder-Pro V1,KwaiKAT,36.0,0.0,62,1.09,,36.0,36000000000.0,56.88073389276996
MiniMax-M2,MiniMax,36.0,0.53,108,1.28,,36.0,67.92452817372731,84.37499993408203
Nova 2.0 Pro Preview (medium),Amazon,35.0,3.44,133,21.03,,35.0,10.174418601693484,6.324298620716866
Gemini 3 Flash,Google,35.0,1.13,196,0.74,,35.0,30.973451300023495,264.8648645069394
Grok 4 Fast,xAI,35.0,0.28,179,4.11,,35.0,124.9999995535714,43.552311424926444
Gemini 2.5 Pro,Google,34.0,3.44,160,32.99,,34.0,9.883720927359384,4.849954531529253
DeepSeek V3.2 Speciale,DeepSeek,34.0,0.42,0,0.0,,34.0,80.95238075963718,0.0
GLM-4.7,Z AI,34.0,0.94,75,0.64,,34.0,36.1702127274785,117.18749981689453
DeepSeek V3.1 Terminus,DeepSeek,33.0,0.8,0,0.0,,33.0,41.2499999484375,0.0
Doubao Seed Code,ByteDance Seed,33.0,0.41,0,0.0,,33.0,80.48780468173706,0.0
GPT-5.2,OpenAI,33.0,4.81,74,0.53,,33.0,6.860706859280519,139.62264124599503
gpt-oss-120B (high),OpenAI,33.0,0.26,366,0.41,,33.0,126.92307643491122,892.6829246519928
Qwen3 Max Thinking,Alibaba,32.0,2.4,35,1.74,,32.0,13.333333327777778,20.11494251717532
Grok 3 mini Reasoning (high),xAI,32.0,0.35,192,0.7,,32.0,91.42857116734695,274.2857138938776
Nova 2.0 Pro Preview (low),Amazon,32.0,3.44,134,12.47,,32.0,9.302325578691184,10.745789894888068
K-EXAONE,LG AI Research,32.0,0.0,114,0.31,,32.0,31999999999.999996,367.74193429760663
DeepSeek V3.2,DeepSeek,32.0,0.32,30,1.24,,32.0,99.9999996875,24.193548367585848
Qwen3 Max,Alibaba,31.0,2.4,26,1.85,,31.0,12.916666661284722,14.054054046457267
Claude 4.5 Haiku,Anthropic,30.0,2.0,106,0.42,,30.0,14.9999999925,252.38095178004534
MiMo-V2-Flash,Xiaomi,30.0,0.15,90,1.74,,30.0,199.99999866666667,51.72413790130796
